Name,Unit price,Product SKU,Description
Omegapel - Suplemento Nutricional,54.00,PC-3963,"Farmacia / Suplementos y vitaminas. Para: Perros, Gatos."
Hematolic - Suplemento Nutricional,48.00,PC-3962,"Farmacia / Suplementos y vitaminas. Para: Perros, Gatos."
Hexocleen-micox - Shampoo Antimicótico antiséptico x 240ml,68.00,PC-3510,"Farmacia / Antimicóticos. Para: Perros, Gatos."
Epitelizante ocular oftalday - ungüento oftálmico estéril,80.00,PC-3073,"Farmacia / Oftálmicos. Para: Perros, Gatos."
Cicatrizante ocular con antibióticos 5gr,84.50,PC-3061,"Farmacia / Oftálmicos. Para: Perros, Gatos."
Nukhan Perros - Envase 500gr - Sachet 50gr,30.00,PC-2870,Alimentos / Suplementos y vitaminas. Para: Perros. Precio desde S/ 30.00 hasta S/ 155.00 según presentación.
Nukhan Gatos - Envase 200gr - Sachet 50gr,30.00,PC-2867,Alimentos / Suplementos y vitaminas. Para: Gatos. Precio desde S/ 30.00 hasta S/ 85.00 según presentación.
Esencias Florales Rescate Gotas 30ml,42.00,PC-2817,"Farmacia / Farmacia. Para: Perros, Gatos, Exóticos."
Esencias Florales Miedo Gotas 30ml,42.00,PC-2816,"Farmacia / Farmacia. Para: Perros, Gatos, Exóticos."
Esencias Florales Stress Gotas 30ml,42.00,PC-2815,"Farmacia / Farmacia. Para: Perros, Gatos, Exóticos."
Esencias Florales Armonizar Gotas 30ml,42.00,PC-2813,"Farmacia / Farmacia. Para: Perros, Gatos, Exóticos."
Esencias Florales Ansiedad Gotas 30ml,42.00,PC-2812,"Farmacia / Farmacia. Para: Perros, Gatos, Exóticos."
Esencias Florales Agresividad Gotas 30ml,42.00,PC-2811,"Farmacia / Farmacia. Para: Perros, Gatos, Exóticos."
Proteliv Gotas 15ml Hepatoprotector,60.00,PC-2795,"Farmacia / Farmacia. Para: Perros, Gatos."
Proteliv - Hepatoprotector 21 Comprimidos,80.00,PC-2794,"Farmacia / Farmacia. Para: Perros, Gatos."
Clorhexidina - Odontológico Gel Antiplaca 20ml,42.00,PC-2786,Farmacia / Farmacia. Para: Perros.
Cardial 5mg 30 Comprimidos Cardioprotector,125.00,PC-2785,"Farmacia / Farmacia. Para: Perros, Gatos."
Apetil Suspención oral 10ml Anabolico - estimulante de apetito,59.00,PC-2784,"Farmacia / Farmacia. Para: Perros, Gatos."
Fooey Spray 4 oz,43.00,PC-2652,"Farmacia / Farmacia. Para: Perros, Gatos, Exóticos."
Dental Fresh Whitening Dog 8 oz y 17 oz,68.00,PC-2647,Higiene y cuidado / Higiene dental. Para: Perros. Precio desde S/ 68.00 hasta S/ 90.50 según presentación.
Dental Fresh Original Dog 8 oz y 17.3oz,64.00,PC-2644,Higiene y cuidado / Higiene dental. Para: Perros. Precio desde S/ 64.00 hasta S/ 85.50 según presentación.
Dental Fresh Original Cat 8 oz,62.00,PC-2643,Higiene y cuidado / Higiene dental. Para: Gatos.
Play Spray Catnip 150ml,49.50,PC-2559,Farmacia / Farmacia. Para: Gatos.
Catnip Bits 35gr,13.50,PC-2549,Alimentos / Snacks. Para: Gatos.
Advantage Gato 1 x 0.4ml Gatos menores a 4kg - BAYER,39.00,PC-2518,Farmacia / Antiparasitarios. Para: Gatos.
Advantage Gato 1 x 0.8ml Gatos mayores a 4kg - BAYER,52.00,PC-2514,Farmacia / Antiparasitarios. Para: Gatos.
Ceruline x 120ml,46.00,PC-2468,"Farmacia / Óticos. Para: Perros, Gatos."
Hexocleen Spray x 120ml,45.00,PC-2467,"Farmacia / Farmacia. Para: Perros, Gatos."
Hexocleen Shampoo x 240ml,48.00,PC-2466,"Higiene y cuidado / Shampoo medicado. Para: Perros, Gatos."
Sin Spot x 20 ml,41.00,PC-2465,"Farmacia / Cremas y ungüentos. Para: Perros, Gatos."
Keracleen Shampoo x 240ml,48.00,PC-2463,Higiene y cuidado / Shampoo medicado. Para: Perros.
Gentax Ótico x 15 ml,38.00,PC-2451,"Farmacia / Óticos. Para: Perros, Gatos."
Methigel x 4.25oz,53.00,PC-2436,"Farmacia / Farmacia. Para: Perros, Gatos."
Laxatone 2.5oz y 4.25oz,47.00,PC-2433,Farmacia / Farmacia. Para: Gatos. Precio desde S/ 47.00 hasta S/ 67.00 según presentación.
Nutri cal x 4.25oz,53.00,PC-2396,"Farmacia / Suplementos y vitaminas. Para: Perros, Gatos."
Ocubiotic colirio x 5ml,54.00,PC-2393,"Farmacia / Oftálmicos. Para: Perros, Gatos."
Ocubiotic colirio con esteroides x 5ml,54.00,PC-2392,"Farmacia / Oftálmicos. Para: Perros, Gatos."
Tears Lágrimas x 8ml,61.00,PC-2391,"Farmacia / Oftálmicos. Para: Perros, Gatos."
Tobramax x 5ml,67.00,PC-2390,"Farmacia / Oftálmicos. Para: Perros, Gatos."
Ciprovet x 5ml,85.00,PC-2389,"Farmacia / Oftálmicos. Para: Perros, Gatos."
Trihepat x 100ml,72.30,PC-2383,"Farmacia / Suplementos y vitaminas. Para: Perros, Gatos."
Crema 6A - 15gr y 30gr,36.00,PC-2365,"Farmacia / Dermatológicos. Para: Perros, Gatos. Precio desde S/ 36.00 hasta S/ 60.00 según presentación."
Transportador Vari Kennel ULT FASH MED,466.00,PC-2356,"Accesorios / Transportadores. Para: Perros, Gatos."
Transportador Vari Kennel fashion pequeño,314.00,PC-2355,"Accesorios / Transportadores. Para: Perros, Gatos."
Glicopan Pet 30ml y 125ml,43.00,PC-2350,"Farmacia / Suplementos y vitaminas. Para: Perros, Gatos, Exóticos. Precio desde S/ 43.00 hasta S/ 67.00 según presentación."
Hemolitan Pet 30ml y 60ml,46.00,PC-2347,"Farmacia / Suplementos y vitaminas. Para: Perros, Gatos, Exóticos. Precio desde S/ 46.00 hasta S/ 72.00 según presentación."
Ecaderm Spray,36.00,PC-2309,"Farmacia / Óticos. Para: Perros, Gatos. Precio desde S/ 36.00 hasta S/ 64.00 según presentación."
Pet Tab Plus x 60 tabletas,91.10,PC-2304,Farmacia / Suplementos y vitaminas. Para: Perros.
Hill’s Science Diet Adult Light 30 lb,415.00,PC-2233,Alimentos / Alimento seco. Para: Perros.
Hill’s Science Diet Adult Large Breed Lamb & Rice 33 lb,450.00,PC-2228,Alimentos / Alimento seco. Para: Perros.
Hill’s Science Diet Feline Hairball Control Adult 7+ 3.5 lb,103.00,PC-2144,Alimentos / Alimento seco. Para: Gatos.
Hill’s PD Canine Metabolic 7.7 lb y 17.6 lb,193.00,PC-2054,Alimentos / Dieta de prescripción. Para: Perros. Precio desde S/ 193.00 hasta S/ 380.00 según presentación.
Hill’s PD Canine i/d 13 oz,24.00,PC-2014,Alimentos / Dieta de prescripción. Para: Perros.
Intersand Simple,27.90,PC-1886,Higiene y cuidado / Arena para gatos. Para: Gatos. Precio desde S/ 27.90 hasta S/ 74.90 según presentación.
